rule,class_code,class_name,final_population,max_population,min_population,final_extent,mean_variance,mean_density
117,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
118,3,Class 3: Chaotic Turbulent,43880,50023,26,42.73172124,3.89149553,0.121062115
119,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
120,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
121,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
122,3,Class 3: Chaotic Turbulent,28310,52110,26,41.02438299,3.878867408,0.126740256
123,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
124,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
125,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
126,3,Class 3: Chaotic Turbulent,59590,64608,26,42.73172124,4.120726068,0.128205637
127,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
128,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
129,3,Class 3: Chaotic Turbulent,20549,132625,9,43.30127019,6.856041143,0.073702313
130,0,Class 0: Unclassified,512,26000,8,41.56921938,1.81707874,0.016219659
131,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
132,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
133,2B,Class 2B: Sparse-Full Blink (N↔Full),1993,132625,9,42.17819342,2.914764033,0.190424912
134,3,Class 3: Chaotic Turbulent,31104,46056,26,41.12177039,4.277485715,0.103400851
135,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
136,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
137,2B,Class 2B: Sparse-Full Blink (N↔Full),7105,132625,9,43.30127019,3.967889734,0.168564249
138,3,Class 3: Chaotic Turbulent,28656,44612,20,42.73172124,3.171543006,0.097968482
139,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
140,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
141,2B,Class 2B: Sparse-Full Blink (N↔Full),369,132625,9,43.30127019,2.34066534,0.192938863
142,3,Class 3: Chaotic Turbulent,15140,61536,26,43.30127019,4.065655333,0.108973101
143,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
144,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
145,2B,Class 2B: Sparse-Full Blink (N↔Full),12721,132625,9,40.62019202,4.890053756,0.153681368
146,3,Class 3: Chaotic Turbulent,34776,38784,26,42.15447782,2.832249915,0.109827593
147,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
148,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
149,2B,Class 2B: Sparse-Full Blink (N↔Full),1289,132625,9,43.30127019,2.72026915,0.195538501
150,3,Class 3: Chaotic Turbulent,22914,54042,26,42.73172124,3.903195945,0.11573912
151,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
152,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
153,2B,Class 2B: Sparse-Full Blink (N↔Full),1457,132625,9,43.30127019,3.055445228,0.190542218
154,3,Class 3: Chaotic Turbulent,30316,45438,26,41.64132563,3.916017273,0.109297488
155,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
156,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
157,2B,Class 2B: Sparse-Full Blink (N↔Full),105,132625,9,43.30127019,1.553275747,0.194120111
158,3,Class 3: Chaotic Turbulent,56608,63534,26,43.30127019,4.193589114,0.116150458
159,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
160,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
161,3,Class 3: Chaotic Turbulent,21677,132625,9,41.56921938,5.711957366,0.136715056
162,0,Class 0: Unclassified,512,26000,8,41.56921938,1.81707874,0.016219659
163,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
164,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
165,2B,Class 2B: Sparse-Full Blink (N↔Full),1285,132625,9,42.17819342,2.807166487,0.198193067
166,3,Class 3: Chaotic Turbulent,28560,54780,26,42.17819342,3.795253755,0.115863485
167,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
168,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
169,2B,Class 2B: Sparse-Full Blink (N↔Full),4265,132625,9,43.30127019,3.1959018,0.184746356
170,0,Class 0: Unclassified,3344,45096,20,37.52332608,1.548681015,0.076842153
171,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
172,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
173,2B,Class 2B: Sparse-Full Blink (N↔Full),393,132625,9,43.30127019,1.950376372,0.19401561
174,3,Class 3: Chaotic Turbulent,46932,57028,26,43.30127019,4.114898615,0.118045542
175,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
176,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
